epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
219,71206,0.35179,0.91053,0.99239,0.31103,0.0046045,0.0046045,0.0046045
220,71524.2,0.34647,0.9118,0.99239,0.30849,0.00457975,0.00457975,0.00457975
221,71860.9,0.34294,0.91307,0.99365,0.30625,0.004555,0.004555,0.004555
222,72182,0.34496,0.91371,0.99365,0.30356,0.00453025,0.00453025,0.00453025
223,72499.7,0.34226,0.91624,0.99365,0.30184,0.0045055,0.0045055,0.0045055
224,72817.9,0.34312,0.91434,0.99365,0.2998,0.00448075,0.00448075,0.00448075
225,73138,0.34868,0.91624,0.99365,0.29748,0.004456,0.004456,0.004456
226,73458.4,0.33623,0.91751,0.99365,0.2955,0.00443125,0.00443125,0.00443125
227,73778.1,0.3391,0.91815,0.99365,0.29327,0.0044065,0.0044065,0.0044065
228,74097.6,0.33839,0.91751,0.99492,0.29085,0.00438175,0.00438175,0.00438175
229,74418.5,0.33495,0.91688,0.99492,0.28924,0.004357,0.004357,0.004357
230,74738.4,0.33595,0.91688,0.99619,0.28772,0.00433225,0.00433225,0.00433225
231,75059.2,0.32842,0.91751,0.99619,0.28592,0.0043075,0.0043075,0.0043075
232,75379.8,0.33309,0.91878,0.99619,0.28397,0.00428275,0.00428275,0.00428275
233,75700,0.32275,0.91942,0.99619,0.28172,0.004258,0.004258,0.004258
234,76018.4,0.32445,0.91942,0.99683,0.27991,0.00423325,0.00423325,0.00423325
235,76337.4,0.32114,0.91942,0.99619,0.27847,0.0042085,0.0042085,0.0042085
236,76655.3,0.32016,0.92005,0.99619,0.27708,0.00418375,0.00418375,0.00418375
237,76973.4,0.31711,0.92069,0.99492,0.27602,0.004159,0.004159,0.004159
238,77290.9,0.30992,0.92005,0.99492,0.27502,0.00413425,0.00413425,0.00413425
239,77608.7,0.31225,0.92005,0.99492,0.27428,0.0041095,0.0041095,0.0041095
240,77926.7,0.31363,0.92005,0.99556,0.27408,0.00408475,0.00408475,0.00408475
241,78244.8,0.30197,0.92005,0.99492,0.2732,0.00406,0.00406,0.00406
242,78562.8,0.30713,0.92132,0.99492,0.27202,0.00403525,0.00403525,0.00403525
243,78881.5,0.3074,0.92069,0.99492,0.27136,0.0040105,0.0040105,0.0040105
244,79200.5,0.30655,0.92069,0.99429,0.271,0.00398575,0.00398575,0.00398575
245,79518.5,0.30196,0.92069,0.99429,0.27059,0.003961,0.003961,0.003961
246,79836.9,0.31075,0.92069,0.99492,0.26872,0.00393625,0.00393625,0.00393625
247,80155.1,0.29752,0.92132,0.99429,0.26761,0.0039115,0.0039115,0.0039115
248,80473.4,0.30136,0.92322,0.99429,0.26611,0.00388675,0.00388675,0.00388675
249,80792.3,0.29212,0.92386,0.99365,0.26524,0.003862,0.003862,0.003862
250,81110.7,0.29922,0.92449,0.99429,0.26466,0.00383725,0.00383725,0.00383725
251,81429.1,0.29317,0.92449,0.99365,0.26356,0.0038125,0.0038125,0.0038125
252,81750.9,0.28746,0.9264,0.99365,0.26203,0.00378775,0.00378775,0.00378775
253,82075,0.28633,0.92766,0.99365,0.26024,0.003763,0.003763,0.003763
254,82402.7,0.28796,0.92766,0.99365,0.25836,0.00373825,0.00373825,0.00373825
255,82724.2,0.27701,0.92766,0.99365,0.25649,0.0037135,0.0037135,0.0037135
256,83044.8,0.28425,0.9283,0.99365,0.25493,0.00368875,0.00368875,0.00368875
257,83366.4,0.27426,0.92893,0.99365,0.25335,0.003664,0.003664,0.003664
258,83687.5,0.2848,0.92957,0.99365,0.25264,0.00363925,0.00363925,0.00363925
259,84008.8,0.27086,0.9302,0.99365,0.25129,0.0036145,0.0036145,0.0036145
260,84329.3,0.27919,0.9302,0.99365,0.24985,0.00358975,0.00358975,0.00358975
261,84650,0.27522,0.9302,0.99365,0.24913,0.003565,0.003565,0.003565
262,84970.1,0.27369,0.9302,0.99302,0.24757,0.00354025,0.00354025,0.00354025
263,85292.1,0.26523,0.93084,0.99302,0.24589,0.0035155,0.0035155,0.0035155
264,85612.5,0.27012,0.93147,0.99302,0.24434,0.00349075,0.00349075,0.00349075
265,85932.6,0.27029,0.93338,0.99302,0.2432,0.003466,0.003466,0.003466
266,86252.6,0.26394,0.93401,0.99302,0.24196,0.00344125,0.00344125,0.00344125
267,86572.3,0.26362,0.93464,0.99365,0.24064,0.0034165,0.0034165,0.0034165
268,86889.4,0.26341,0.93401,0.99365,0.23925,0.00339175,0.00339175,0.00339175
